ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,User-ID,Book-Rating,Rating-Count
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,11400,9,197
0151008116,Life of Pi,Yann Martel,2002,Harcourt,11400,6,90
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,11400,7,335
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",11400,7,60
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,11400,8,259
0060958022,Five Quarters of the Orange,Joanne Harris,2002,Perennial,11400,10,84
0446606324,The Winner,David Baldacci,1998,Warner Vision,11400,8,95
0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell,11400,6,253
0375506039,Open House,Elizabeth Berg,2000,Random House Trade,11400,8,70
0440234743,The Testament,John Grisham,1999,Dell,11676,9,213
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,11676,8,96
0971880107,Wild Animus,Rich Shapero,2004,Too Far,11676,6,772
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,11676,10,172
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,11676,10,103
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,11676,8,108
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,11676,7,83
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,11676,10,80
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,11676,9,61
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,11676,8,208
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,11676,5,116
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,11676,8,108
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,11676,7,105
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,11676,10,56
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,11676,9,197
0446612545,The Beach House,James Patterson,2003,Warner Books,11676,6,141
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,11676,10,53
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,11676,10,104
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,11676,10,103
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,11676,5,56
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",11676,3,57
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",11676,10,64
0345378490,Congo,Michael Crichton,1995,Ballantine Books,11676,9,170
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,11676,5,99
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,11676,9,126
0385508042,The King of Torts,John Grisham,2003,Doubleday Books,11676,9,111
0385511612,Bleachers,John Grisham,2003,Doubleday,11676,10,77
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,11676,10,105
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,11676,8,58
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,11676,7,51
0671027387,Deception Point,Dan Brown,2002,Pocket,11676,10,119
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,11676,6,88
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,11676,7,109
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,11676,9,181
0151008116,Life of Pi,Yann Martel,2002,Harcourt,11676,6,90
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,11676,6,115
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,11676,10,89
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",11676,8,79
0451526341,Animal Farm,George Orwell,2004,Signet,11676,10,78
0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,11676,8,54
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,11676,8,277
0425120279,The Hunt for Red October,Tom Clancy,1990,Berkley Publishing Group,11676,6,53
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,11676,7,95
038542471X,The Client,John Grisham,1993,Doubleday Books,11676,10,67
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,11676,8,111
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch,11676,8,213
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",11676,5,555
0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company,11676,8,183
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group,11676,1,328
0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam,11676,8,51
0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA,11676,7,160
0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell,11676,7,161
0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,11676,5,72
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,11676,9,156
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,11676,10,335
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,11676,6,230
0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),11676,8,96
0156027321,Life of Pi,Yann Martel,2003,Harvest Books,11676,6,239
0515127833,River's End,Nora Roberts,2003,Jove Books,11676,7,94
0345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,11676,7,58
0385472951,The Partner,John Grisham,1997,Doubleday Books,11676,10,60
0425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group,11676,9,83
055356451X,Night Sins,TAMI HOAG,1995,Bantam,11676,9,104
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,11676,8,206
0553578693,The Next Accident,LISA GARDNER,2002,Bantam,11676,10,91
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,11676,10,173
0440122090,Echoes,Maeve Binchy,1989,Dell,11676,10,75
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,11676,8,160
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,11676,8,187
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books,11676,8,52
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),11676,5,67
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,11676,10,307
